"n_obs","p_c","rct_conv_rates","obs_conv_rates"
40,0.1,0.1785,0.055
80,0.1,0.1815,0.0555
120,0.1,0.2105,0.0775
160,0.1,0.2485,0.0785
200,0.1,0.223,0.091
240,0.1,0.2665,0.0835
280,0.1,0.2785,0.0845
320,0.1,0.3215,0.0955
360,0.1,0.332,0.086
400,0.1,0.318,0.1085
40,0.2,0.222,0.1125
80,0.2,0.296,0.137
120,0.2,0.3665,0.144
160,0.2,0.412,0.147
200,0.2,0.4675,0.1465
240,0.2,0.5155,0.1615
280,0.2,0.5525,0.1565
320,0.2,0.6015,0.161
360,0.2,0.664,0.144
400,0.2,0.6685,0.1345
40,0.3,0.314,0.1855
80,0.3,0.4625,0.238
120,0.3,0.571,0.281
160,0.3,0.6505,0.319
200,0.3,0.706,0.3125
240,0.3,0.775,0.309
280,0.3,0.803,0.3405
320,0.3,0.851,0.3525
360,0.3,0.8775,0.338
400,0.3,0.895,0.3405
40,0.4,0.437,0.284
80,0.4,0.652,0.387
120,0.4,0.7555,0.4425
160,0.4,0.8495,0.515
200,0.4,0.8875,0.564
240,0.4,0.922,0.5895
280,0.4,0.9405,0.598
320,0.4,0.9615,0.6305
360,0.4,0.975,0.6505
400,0.4,0.981,0.6535
40,0.5,0.5635,0.4
80,0.5,0.7975,0.5785
120,0.5,0.8875,0.688
160,0.5,0.944,0.731
200,0.5,0.9645,0.7955
240,0.5,0.9775,0.8235
280,0.5,0.9885,0.8635
320,0.5,0.9875,0.87
360,0.5,0.9945,0.8955
400,0.5,0.9985,0.9065
40,0.6,0.7125,0.563
80,0.6,0.91,0.7585
120,0.6,0.9595,0.8485
160,0.6,0.987,0.887
200,0.6,0.996,0.921
240,0.6,0.9995,0.9535
280,0.6,0.9985,0.976
320,0.6,0.997,0.975
360,0.6,1,0.9855
400,0.6,0.9995,0.9875
40,0.7,0.8395,0.7045
80,0.7,0.9695,0.875
120,0.7,0.9925,0.9415
160,0.7,0.9975,0.9765
200,0.7,1,0.9895
240,0.7,0.9995,0.99
280,0.7,0.9995,0.996
320,0.7,1,0.995
360,0.7,1,0.999
400,0.7,1,0.999
40,0.8,0.9375,0.8445
80,0.8,0.9935,0.9655
120,0.8,0.9985,0.982
160,0.8,1,0.9945
200,0.8,1,0.997
240,0.8,1,0.9985
280,0.8,1,0.9995
320,0.8,1,0.9995
360,0.8,1,1
400,0.8,1,1
40,0.9,0.9845,0.946
80,0.9,0.9995,0.9885
120,0.9,1,0.998
160,0.9,1,0.9995
200,0.9,1,0.9985
240,0.9,1,0.9995
280,0.9,1,1
320,0.9,1,1
360,0.9,1,0.9995
400,0.9,1,1
40,1,1,1
80,1,1,1
120,1,1,1
160,1,1,1
200,1,1,1
240,1,1,1
280,1,1,1
320,1,1,1
360,1,1,1
400,1,1,1
